,DESCRIPTION,CATEGORY
2234,"When I went to my husbands house to resolve the matter(fight) along with my brother on 15th June 2016 around 7 30PM. It has just been 4 months for our marriage. He came from out and just started shouting telling my brother to get lost from the house,when I said don't you say that to my brother he in turn told me to get out of the house. After this he started abusing filthy to me and brother and he pulled my brother and started pushing and throwing out of house. I went in between to stop him pushing my brother but he pushed me,harassed me,his parents were also involved in this. All 3 of them i.e husband,father in law and mother in law started pushing me out of the house.when I tried to pack my bags they were fifthly abusing me and my parents.i was packing my bags and they just started throwing the bags out of the house in the rain. He even kicked the bags which hit me while I was picking the thrown bags outside. such a rude behavior and this is not the first time he has abused me.a lot of times he has verbally abused me saying mother fucker,rand, chinal, and he has pushed me several times. I have filed an FIR complaint with the police for my and my family's safety. I hope you people help me to give him the right pusinhment. my husband's name is Harish Kumar, working in NetApp. Father in law's name is Maruti Rao and mother in law's name is Indumati. I look forward for your help.

Thank you 
Nikitha",Others
2235,"It's kind of lonely road. And I was returning home alone. A guy came following me. As the street light got dim, he came closer and he kept saying &quot;you seen the movie 'Sex'? Do you want to do it with me?&quot;
I got scared and went into neighbor's house and he waited outside the house just to see if it was actually my house.",Sexual Invites
2236,"At a party in my village in the night, I was stared at.",Ogling/Facial Expressions/Staring
2237,I was touched by someone inappropriately at Zanskar Sani Nasjal,Touching /Groping
2238,There is no street lighting in Skalzangling of Leh Ladakh which causes problems and feeling of non-safety during the night,Others
2239,I was called names like “ldzawa lay” (hey moon),Catcalls/Whistles
2240,I saw some guys taking pictures of me at a Losar (new year) party at my village,Taking pictures
2241,I was stalked when I was walking alone in Changspa street,Stalking
2242,I was called through sexual invites in the evening by a creepy person,Sexual Invites
2243,Someone passed a remark at me &quot;you are looking beautiful&quot; inappropriately,Commenting
2244,I was called names at Padum Zanskar,Catcalls/Whistles
2245,I was stared at near JNV hostel near Saboo village of Ladakh,Ogling/Facial Expressions/Staring
2246,I experienced someone asking for sexual invites when I was alone passing by a deserted lane,Sexual Invites
2247,I was called names when I was alone passing by Leh market,Catcalls/Whistles
2248,I was stalked at Leh market when I was alone,Stalking
2249,I was called names at my village Zanskar,Catcalls/Whistles
2250,I was stalked when I was with a group of friends by some boys during Republic Day,Stalking
2251,I felt someone touching me when I was attending tuition classes,Touching /Groping
2252,"When I was at picnic with my friends, I noticed a group of boys were taking pictures of us",Taking pictures
2253,"I was called names like “darling”, “chuli” (apricot)",Catcalls/Whistles
2254,"I was called names by a group of guys at Neymoling stupa, Leh",Catcalls/Whistles
2255,I was stalked at Leh market,Stalking
2256,"I was called “samches lay” (hey cutie), “chocho” (doll) and “nomo deymo” (hey pretty girl)",Catcalls/Whistles
2257,My pictures along with my friends were taken when we were at a party in night by some unknown guys.,Taking pictures
2258,I was stalked at when I was alone.,Stalking
2259,I was stared at when I was passing by with my friends.,Ogling/Facial Expressions/Staring
2260,I was roaming around the market shopping with my sister where a random aged man popped into my ears saying &quot;kya matak rahi hai&quot;,Commenting
2261,I was walking around the market and shopping with mg sister when a random stranger passed by me and spoke into my ears saying &quot;kya matak rahi hai&quot;,Commenting
2262,i was coming alone at 9 and some boys commented and whistled at me.,Catcalls/Whistles
2263,"I'm a football player and I was playing football with some friends when we saw a group of friends, girls boys both, who were assaulting a gay couple. They were making comments on their sexuality and harassing them for being who they are.The couple didn't protested and were minding their on business but this group started making fun of them and laughed their asses out as if the they were some stand up comedians. My friends and I couldn't tolerate this and hence we went there and thrashed the group with our words but who will protect the gay couples' rights everywhere? Especially in a place like India.",Commenting
